사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자,자치구
202604,1호선,동대문,699,14,10785,1967,9753,7375,17418,13644,24456,22675,23924,24410,21258,26218,22494,30301,25459,28382,28033,29074,30511,28286,32180,26937,33106,26447,32460,26370,29825,26605,22352,24061,19187,17858,16818,17126,12928,16118,6405,10780,1041,3359,1,337,0,0,0,0,20260503,종로구
202604,1호선,동묘앞,203,10,3112,914,4394,6211,9605,12095,14958,25536,12939,18998,14720,25576,19202,33711,26877,36292,34388,40127,35673,35199,37934,30049,38700,23312,35402,17306,25564,14755,13591,10243,7443,7481,6015,7667,4231,7613,1525,5191,156,2421,0,332,0,0,0,0,20260503,종로구
202604,1호선,서울역,714,53,11801,11865,39975,72460,124120,145403,198913,279565,142778,187193,118217,114425,124196,108812,137079,121466,129104,116620,111224,110661,142151,129197,162261,142775,241213,180281,275291,214078,153423,143870,113669,104289,114573,99237,80361,72872,42310,38093,4653,8780,23,247,0,0,0,0,20260503,중구
202604,1호선,시청,175,0,1917,6324,4110,33548,8007,86732,10826,232452,13735,100386,16190,52298,22657,49284,25550,43405,33789,41911,43631,32450,57055,29107,69751,27102,110573,28699,177907,26120,68668,13602,61915,9676,52328,8181,33132,6252,10897,3798,688,942,3,18,0,0,0,0,20260503,중구
202604,1호선,신설동,484,18,8846,2389,11861,10029,25480,28270,36825,56839,24621,34849,21713,22417,23008,20157,24021,20132,26422,21716,24707,20309,27148,22581,32058,24043,45356,28069,54778,34933,22758,25318,15726,18914,14135,18013,10342,15770,4525,10208,577,3008,2,2,0,0,0,0,20260503,동대문구
202604,1호선,제기동,376,3,5425,2779,9886,11053,23549,21398,34107,41454,25272,32711,26289,37818,33607,44170,38268,45410,40919,47196,44361,43959,46142,37930,46086,35255,44026,29442,38090,29494,21682,19233,14306,13027,8868,12387,5846,10089,2259,6445,187,1786,0,0,0,0,0,0,20260503,동대문구
202604,1호선,종각,95,1,4061,6390,4833,37342,7861,133764,11586,289675,15114,154423,20768,69745,31905,66546,38138,57528,47613,56605,59965,45262,75610,42632,93806,44115,177965,51464,233075,52507,104511,26278,95309,15147,94463,11426,64802,7942,27592,5033,2113,1421,1,0,0,0,0,0,20260503,종로구
202604,1호선,종로3가,153,13,3988,4276,4594,15033,7635,30645,11316,67668,16517,64787,23343,56625,33319,67327,45317,64019,49529,58616,60202,52731,68530,46974,76752,45656,93597,44731,97005,43803,60200,24112,51537,14904,54756,11916,41526,9471,20568,6645,2349,2607,1,48,0,0,0,0,20260503,종로구
202604,1호선,종로5가,78,0,1965,5087,3487,21455,6927,48534,12207,100606,16701,68031,26856,59883,37731,64534,45231,55450,53361,54150,61911,49882,65237,42121,74586,40313,94918,36341,97022,33464,51324,19704,37276,11481,32479,8717,20487,6959,6126,4468,423,1092,0,2,0,0,0,0,20260503,종로구
202604,1호선,청량리(서울시립대입구),1304,48,11628,3053,21459,10998,55938,20304,64442,44780,41046,45768,37057,43926,41668,53028,50554,54195,52051,55585,55537,53995,59368,51739,62942,53442,58808,56446,49986,67753,30926,42720,25196,27228,19208,26056,11602,21919,4735,13620,380,4814,0,5,0,0,0,0,20260503,동대문구
