구명,연도,업종,총개수,폐업수,폐업률
중구,2024,양식음식점,530,30,5.66
중구,2024,일식음식점,394,27,6.85
중구,2024,중식음식점,246,19,7.72
중구,2024,치킨전문점,257,11,4.28
중구,2024,커피-음료,1004,106,10.56
중구,2024,한식음식점,2720,113,4.15
중랑구,2019,분식전문점,322,31,9.63
중랑구,2019,양식음식점,65,6,9.23
중랑구,2019,일식음식점,113,10,8.85
중랑구,2019,중식음식점,95,8,8.42
중랑구,2019,치킨전문점,624,41,6.57
중랑구,2019,커피-음료,319,32,10.03
중랑구,2019,한식음식점,1423,120,8.43
중랑구,2020,분식전문점,316,24,7.59
중랑구,2020,양식음식점,69,8,11.59
중랑구,2020,일식음식점,115,9,7.83
중랑구,2020,중식음식점,99,5,5.05
중랑구,2020,치킨전문점,628,41,6.53
중랑구,2020,커피-음료,360,35,9.72
중랑구,2020,한식음식점,1409,133,9.44
중랑구,2021,분식전문점,331,26,7.85
중랑구,2021,양식음식점,80,7,8.75
중랑구,2021,일식음식점,128,5,3.91
중랑구,2021,중식음식점,103,7,6.8
중랑구,2021,치킨전문점,630,46,7.3
중랑구,2021,커피-음료,409,46,11.25
중랑구,2021,한식음식점,1378,148,10.74
중랑구,2022,분식전문점,328,33,10.06
중랑구,2022,양식음식점,83,12,14.46
중랑구,2022,일식음식점,148,11,7.43
중랑구,2022,중식음식점,108,9,8.33
중랑구,2022,치킨전문점,618,49,7.93
중랑구,2022,커피-음료,435,60,13.79
중랑구,2022,한식음식점,1314,143,10.88
중랑구,2023,분식전문점,313,26,8.31
중랑구,2023,양식음식점,83,5,6.02
중랑구,2023,일식음식점,154,15,9.74
중랑구,2023,중식음식점,115,5,4.35
중랑구,2023,치킨전문점,609,40,6.57
중랑구,2023,커피-음료,433,63,14.55
중랑구,2023,한식음식점,1263,134,10.61
중랑구,2024,분식전문점,303,19,6.27
중랑구,2024,양식음식점,88,9,10.23
중랑구,2024,일식음식점,150,13,8.67
중랑구,2024,중식음식점,120,12,10.0
중랑구,2024,치킨전문점,596,27,4.53
중랑구,2024,커피-음료,401,41,10.22
중랑구,2024,한식음식점,1218,121,9.93
