Model,MAE,RMSE,R2
RandomForest,8.118534393404007,11.331539801176618,0.7558365803825138
CatBoost,8.181957190736382,11.220848168195339,0.7605834802452964
LightGBM,8.859752732469637,12.39050027372885,0.7080688588286765
